cod_id,formula_reduced,formula_full,n_sites,n_sites_primitive,volume_a3,spacegroup_symbol,spacegroup_number,crystal_system,n_elements,elements,contains_carbon
1000008,CaMg(SiO3)2,Ca4 Mg4 Si8 O24,40,20,438.3855,C2/c,15,monoclinic,4,Ca Mg O Si,False
1000067,LiSbWO6,Li4 Sb4 W4 O24,36,36,406.5115,Pbcn,60,orthorhombic,4,Li+ O2- Sb5+ W6+,False
1000105,MnFe2Pb8F24,Mn2 Fe4 Pb16 F48,70,70,1034.8775,P2_1/c,14,monoclinic,4,F- Fe3+ Mn2+ Pb2+,False
1000146,Rb2NaAl3F12,Rb4 Na2 Al6 F24,36,36,488.5726,P2_1/m,11,monoclinic,4,Al3+ F- Na+ Rb+,False
1000152,Ba2ZrF8,Ba8 Zr4 F32,44,44,650.1351,Pnma,62,orthorhombic,3,Ba2+ F- Zr4+,False
1000228,FeF3,Fe16 F48,64,16,1100.7031,Fd-3m,227,cubic,2,F- Fe3+,False
1000296,Na2MnGaF7,Na12 Mn6 Ga6 F42,66,66,858.1714,P3_121,152,trigonal,4,F- Ga3+ Mn2+ Na+,False
1000303,NdNiO3,Nd4 Ni4 O12,20,20,220.8901,Pnma,62,orthorhombic,3,Nd3+ Ni3+ O2-,False
1000320,Ba2CeC3O9F,Ba4 Ce2 C6 O18 F2,32,32,433.6805,P2_1/m,11,monoclinic,5,Ba2+ C4+ Ce3+ F- O2-,False
1000331,Ba2GdC2(O2F)3,Ba8 Gd4 C8 O24 F12,56,56,787.5527,Pbcn,60,orthorhombic,5,Ba2+ C4+ F- Gd3+ O2-,False
1000339,KNbSi2O7,K4 Nb4 Si8 O28,44,44,621.5464,P4bm,100,tetragonal,4,K+ Nb5+ O2- Si4+,False
1000361,Ba3ScCO3F7,Ba12 Sc4 C4 O12 F28,60,30,925.968,Cmcm,63,orthorhombic,5,Ba2+ C4+ F- O2- Sc3+,False
1000376,Fe3Pb8F24,Fe6 Pb16 F48,70,35,1022.749,P-1,2,triclinic,4,F- Fe2+ Fe3+ Pb2+,False
1000439,RbFeF4,Rb4 Fe4 F16,24,24,367.2967,Pbcm,57,orthorhombic,3,F- Fe3+ Rb+,False
1000455,RbAlF4,Rb2 Al2 F8,12,12,164.8395,P4/mbm,127,tetragonal,3,Al3+ F- Rb+,False
1001074,KTa(GeO3)3,K2 Ta2 Ge6 O18,28,28,427.0263,P-6c2,188,hexagonal,4,Ge4+ K+ O2- Ta5+,False
1001103,Sr3Ta6(Si2O13)2,Sr3 Ta6 Si4 O26,39,39,525.1383,P-62m,189,hexagonal,4,O2- Si4+ Sr2+ Ta5+,False
1001240,Si3N4,Si12 N16,28,28,294.4253,P31c,159,trigonal,2,N3- Si4+,False
1001294,Cd2As3Br,Cd8 As12 Br4,24,12,610.5543,Cc,9,monoclinic,3,As- Br- Cd2+,False
1001342,TlMo2(PO4)3,Tl4 Mo8 P12 O48,72,72,1004.878,Pbcm,57,orthorhombic,4,Mo4+ O2- P5+ Tl+,False
1001371,K2V3P4O17,K8 V12 P16 O68,104,104,1440.7583,Pna2_1,33,orthorhombic,4,K+ O2- P5+ V4+,False
1001517,KMo(PO4)2,K4 Mo4 P8 O32,48,48,684.5971,P2_1/c,14,monoclinic,4,K+ Mo5+ O2- P5+,False
1001611,BaMo4(PO8)2,Ba2 Mo8 P4 O32,46,23,623.3485,I-42m,121,tetragonal,4,Ba2+ Mo5+ O2- P5+,False
1001620,KMo3(PO7)2,K2 Mo6 P4 O28,40,40,541.6277,P2_1/m,11,monoclinic,4,K+ Mo5.67+ O2- P5+,False
1001646,V4Zn3(PO4)6,V4 Zn3 P6 O24,37,37,405.291,P-1,2,triclinic,4,O2- P5+ V3+ Zn2+,False
1004036,LiAlCl4,Li4 Al4 Cl16,24,24,591.234,P2_1/c,14,monoclinic,3,Al3+ Cl- Li+,False
1004108,NiBiPO5,Ni4 Bi4 P4 O20,32,32,396.6913,P2_1/c,14,monoclinic,4,Bi3+ Ni2+ O2- P5+,False
1004143,BiP(PbO2)4,Bi2 P2 Pb8 O16,28,28,463.6477,P-1,2,triclinic,4,Bi3+ O2- P5+ Pb2+,False
1005006,Ta3N5,Ta12 N20,32,16,407.2643,Cmcm,63,orthorhombic,2,N3- Ta5+,False
1005010,Nb3SiTe6,Nb12 Si4 Te24,40,40,1018.9231,Pnma,62,orthorhombic,3,Nb0+ Si0+ Te0+,False
1005016,BaCoS2,Ba4 Co4 S8,16,8,373.9029,P4/nmm,129,tetragonal,3,Ba2+ Co2+ S2-,False
1005017,Ce3Sb5Pd6,Ce6 Sb10 Pd12,28,28,604.1234,Pmmn,59,orthorhombic,3,Ce0+ Pd0+ Sb0+,False
1005020,Ba2ZnN2,Ba4 Zn2 N4,10,5,225.0565,I4/mmm,139,tetragonal,3,Ba2+ N3- Zn2+,False
