cod_id,http_status,stage_failed,reject_detail,n_blocks,n_sites,n_sites_primitive,volume_a3,is_ordered,formula_declared,formula_parsed,max_z,min_nn_dist_a,contains_carbon,n_parser_warnings,survived
1000023,200,ordered,partial or mixed site occupancy,1,37,,406.3448,False,,Fe4 Cu2.9376 P6 O24,29,,False,1,False
1001000,200,ordered,partial or mixed site occupancy,1,304,,2468.7992,False,,Ca16 H64 N32 O128,20,,False,1,False
1001067,200,parsed,ValueError: Invalid CIF file with no structures!,,,,,,,,,,,2,False
1001399,200,ordered,partial or mixed site occupancy,1,20,,241.7983,False,,Sr4 Fe2 Ru2 O12,44,,False,0,False
1001501,200,,,1,18,9,245.6608,True,Ba Ni O5 Y2,Ba2 Y4 Ni2 O10,56,1.88,False,0,True
1001546,200,ordered,partial or mixed site occupancy,1,14,,162.2161,False,,Ca2 Y2 Al2 O8,39,,False,0,False
1001571,200,ordered,partial or mixed site occupancy,1,140,,1627.069,False,,Sr19.992 Cu12 Bi8 C8 O64,83,,False,0,False
1001641,200,ordered,partial or mixed site occupancy,1,196,,2965.9963,False,,Cs18 Al6 Mo18 P22 O118,55,,False,1,False
1001671,200,ordered,partial or mixed site occupancy,1,30,,190.2298,False,,Nd4 Cu2 O7,60,,False,0,False
1001714,200,ordered,partial or mixed site occupancy,1,24,,292.7553,False,,Sr5 Mn4 C1 O13,38,,False,0,False
1001837,200,,,1,24,12,632.5087,True,As3 Cd2 I,Cd8 As12 I4,53,2.417,False,0,True
1006039,200,,,1,24,24,341.5677,True,F4 K Mn,K4 Mn4 F16,25,1.8051,False,0,True
1007241,200,,,1,56,56,614.4384,True,Cu Li O9 P3,Li4 Cu4 P12 O36,29,1.4667,False,0,True
1007257,200,,,1,28,28,369.1983,True,K Mg O9 P3,K2 Mg2 P6 O18,19,1.4324,False,1,True
1008154,200,,,1,20,20,219.3989,True,Cr Dy O3,Dy4 Cr4 O12,66,1.9665,False,0,True
1008505,200,ordered,partial or mixed site occupancy,1,114,,1300.7538,False,,Ba5.94 Zn5.64 Fe36.12 O66,56,,False,0,False
1008870,200,,,1,2,2,27.5999,True,Os,Os2,76,2.6618,False,1,True
1010112,200,,,1,96,24,1073.7418,True,O4 Sb2,Sb32 O64,51,2.1054,False,0,True
1010216,200,,,1,20,20,283.5934,True,Cl Na O3,Na4 Cl4 O12,17,1.4766,False,0,True
1010306,200,,,1,24,12,834.8038,True,I K O4,K4 I4 O16,53,2.7629,False,0,True
1010327,200,,,1,8,2,216.0,True,I Li,Li4 I4,53,3.0,False,0,True
1010683,200,parsed,ValueError: Invalid CIF file with no structures!,,,,,,,,,,,0,False
1010942,200,,,1,12,6,130.3639,True,O2 Ti,Ti4 O8,22,1.874,False,0,True
1011093,200,parsed,ValueError: Invalid CIF file with no structures!,,,,,,,,,,,3,False
1011165,200,ordered,partial or mixed site occupancy,1,8,,79.0033,False,,Fe3.716 O4,26,,False,0,False
1011291,200,,,1,14,14,178.7628,True,O5 V2,V4 O10,23,1.5683,False,0,True
1100114,200,parsed,ValueError: Invalid CIF file with no structures!,,,,,,,,,,,3,False
1100410,200,,,1,126,126,1369.7696,True,C25 H25 Co3 Cr O7 P2,Cr2 Co6 P4 H50 C50 O14,27,0.837,True,0,True
1100517,200,size_within_limit,208 sites > 150,1,208,,1929.7404,True,C22 H26 N2 O2,H104 C88 N8 O8,8,0.8531,True,0,False
1100717,200,,,1,56,56,1687.7094,True,Br3 La9 Sb16,La18 Sb32 Br6,57,3.0323,False,1,True
1101065,200,,,1,36,36,461.8974,True,Ca2 Fe2 O5,Ca8 Fe8 O20,26,1.8483,False,0,True
1101150,200,,,1,68,34,911.1439,True,B3 K O9 Sr4,K4 Sr16 B12 O36,38,1.3688,False,0,True
1101220,200,ordered,partial or mixed site occupancy,1,5168,,100078.6282,False,,K128 Ti64 Si32 W320 C1600 S32 O2048,74,,True,1,False
1501505,200,ordered,partial or mixed site occupancy,1,10,,130.3329,False,,Mg0.5 Ti0.5 Nb1 Pb2 O6,82,,False,0,False
1501575,200,,,1,2,2,20.4122,True,C W,W1 C1,74,2.1855,True,1,True
1501730,200,size_within_limit,156 sites > 150,1,156,,1408.4385,True,C5 H17 B5 N2 O10,B20 H68 C20 N8 O40,8,0.9667,True,0,False
1501801,200,size_within_limit,208 sites > 150,1,208,,1698.7254,True,C20 H30 O2,H120 C80 O8,8,0.9496,True,0,False
1501967,200,,,1,114,114,1073.3537,True,C26 H27 N O2,H56 C52 N2 O4,8,0.9098,True,1,True
1502067,200,size_within_limit,204 sites > 150,1,204,,1819.1896,True,C16 H29 N O4 S,H116 C64 S4 N4 O16,16,0.8837,True,0,False
1502126,200,size_within_limit,456 sites > 150,1,456,,5009.9644,True,C58 H44 I2 N6 O4,H176 C232 I8 N24 O16,53,,True,1,False
1502337,200,size_within_limit,180 sites > 150,1,180,,1726.4069,True,C20 H20 N2 O2 S,H80 C80 S4 N8 O8,16,0.929,True,1,False
1502523,200,,,1,106,106,1015.7381,True,C25 H26 O2,H52 C50 O4,8,0.8203,True,0,True
1502545,200,size_within_limit,176 sites > 150,1,176,,1628.829,True,C15 H23 N3 O2 S,H92 C60 S4 N12 O8,16,0.9496,True,0,False
1502622,200,size_within_limit,380 sites > 150,1,380,,3395.723,True,C18 H25 Cl N O2.5,H200 C144 N8 Cl8 O20,17,0.8373,True,1,False
1502625,200,ordered,partial or mixed site occupancy,1,276,,2897.4289,False,,Re4 H92 C94.4 Br0.8 N28 O34.4 F9.6,75,,True,0,False
1502685,200,ordered,partial or mixed site occupancy,1,864,,10114.4673,False,,Cu4 P4 H304 C440 N16 Cl16 F24,29,,True,0,False
1502708,200,ordered,partial or mixed site occupancy,1,824,,6903.8863,False,,H188 C80 N5 Cl2.624 O166.496,17,,True,1,False
1502929,200,ordered,partial or mixed site occupancy,1,360,,3939.1995,False,,H124 Pd4 C128 N32 O66,46,,True,0,False
1502981,200,size_within_limit,516 sites > 150,1,516,,5501.3007,True,C58 H46 F18 N2 O5,H184 C232 N8 O20 F72,9,,True,0,False
1503072,200,,,1,136,136,1292.3174,True,C12 H16 B N3 O2,B4 H64 C48 N12 O8,8,0.8794,True,0,True
1503161,200,size_within_limit,452 sites > 150,1,452,,4522.8541,True,C27 H23 N2 O4.5,H184 C216 N16 O36,8,,True,0,False
1503239,200,size_within_limit,328 sites > 150,1,328,,3245.5825,True,C21 H17 N O2,H136 C168 N8 O16,8,0.8752,True,0,False
1503403,200,,,1,82,82,769.3136,True,C16 H17 N O6 S,H34 C32 S2 N2 O12,16,0.8593,True,1,True
1503438,200,size_within_limit,224 sites > 150,1,224,,2090.3602,True,C23 H28 N2 O3,H112 C92 N8 O12,8,0.8802,True,0,False
1503548,200,ordered,partial or mixed site occupancy,1,447,,4338.5103,False,,H224 C161.5 N32 Cl4 O20.5,17,,True,1,False
1503567,200,size_within_limit,160 sites > 150,1,160,,1567.7557,True,C19 H14 N2 O5,H56 C76 N8 O20,8,0.859,True,0,False
1503609,200,size_within_limit,452 sites > 150,1,452,,4655.7375,True,C63 H43 Co O6,Co4 H172 C252 O24,27,,True,0,False
1503692,200,,,1,82,82,698.7746,True,C31 H46 O5,H46 C31 O5,8,0.8198,True,0,True
1503782,200,,,1,136,136,1235.7505,True,C14 H17 N O2,H68 C56 N4 O8,8,0.8765,True,0,True
1503927,200,ordered,partial or mixed site occupancy,1,120,,767.8001,False,,H40 C32 O14,8,,True,0,False
